name,value
Juanita Millender-McDonald,1.976698839
Sam Graves,1.937771172
Rick Larsen,1.907218505
Thomas H. Allen,1.90238613
Dave Camp,1.898248579
Steve Cohen,1.889899893
John J. Duncan,1.875385856
Tom Price,1.869451405
Debbie Stabenow,1.851546295
Debbie Wasserman Schultz,1.841937769
Bob Corker,1.822045016
Patrick J. Kennedy,1.763521053
Jason Chaffetz,1.759379429
Brian Baird,1.746749277
Suzanne Bonamici,1.738145089
Bill Shuster,1.733712893
John Barrow,1.722757069
Fred Thompson,1.718274015
Susan M. Collins,1.698227064
Ander Crenshaw,1.644081181
Gus M. Bilirakis,1.606102266
William H. Frist,1.595940188
Timothy H. Bishop,1.495967849
Charlie Melancon,1.484766383
Robert J. Wittman,1.454913486
Steve Austria,1.431691978
Henry A. Waxman,1.421272334
Louie Gohmert,1.412737827
Bernard Sanders,1.397686833
Sheldon Whitehouse,1.391275476
David Perdue,1.375391683
Michael T. McCaul,1.355884691
Donald M. Payne,1.33894027
David Young,1.325499672
Chris Cannon,1.301783372
Judd Gregg,1.278524008
Susan A. Davis,1.277832358
Kirsten E. Gillibrand,1.256794949
Diana DeGette,1.254268137
J. Randy Forbes,1.247790704
James E. Risch,1.244269782
Todd Russell Platts,1.240293366
Chuck Grassley,1.240144357
Bob Goodlatte,1.230344926
Jackie Walorski,1.218367766
Jack Reed,1.204977361
Jim Costa,1.195783419
Bob Graham,1.15810135
Dean Heller,1.156767357
James Lankford,1.133693755
Constance A. Morella,1.12836319
Randy Hultgren,1.126539805
Thad Cochran,1.125604898
Barbara Boxer,1.114936868
Chuck Hagel,1.113209281
Jerry F. Costello,1.104352399
John McCain,1.101201247
Chip Cravaack,1.100516095
Gloria Negrete McLeod,1.079182456
Frank R. Lautenberg,1.074530603
Kay R. Hagan,1.061189708
Sherrod Brown,1.040070686
Jon Tester,1.025726354
Sam Brownback,1.013963318
Patty Murray,0.997162935
K. Michael Conaway,0.958459776
Jane Harman,0.913887629
Walter B. Jones,0.906154185
Jeanne  Shaheen,0.89840518
Jared Polis,0.888260259
Spencer Bachus,0.883210514
Russell D. Feingold,0.875342909
Austin Scott,0.873808724
Ron Wyden,0.855286976
Christopher A. Coons,0.850064554
Sue Wilkins Myrick,0.849847466
Scott R. Tipton,0.839516865
Lois Capps,0.824660938
Deb  Fischer,0.821767424
Robert B. Aderholt,0.818416866
Candice S. Miller,0.818321485
Lisa Murkowski,0.808317103
Todd Young,0.803433825
Orrin G. Hatch,0.789977678
Howard L. Berman,0.748320151
Charles A. Wilson,0.731025636
Bart Stupak,0.730822083
Yvette D. Clarke,0.728719071
Tim Ryan,0.725109821
Adam Smith,0.696969536
Ginny Brown-Waite,0.695724264
Shelley Berkley,0.689822989
Eddie Bernice Johnson,0.689162205
Jeff  Merkley,0.687034816
Frank D. Lucas,0.669026032
Jim Bridenstine,0.657640213
William M. Thomas,0.655069294
David Loebsack,0.649982028
Pat Toomey,0.64828054
Richard  Blumenthal,0.645161866
John S. Tanner,0.643579778
Bart Gordon,0.63392065
Norm Coleman,0.633689211
Wally Herger,0.633655729
Fortney Pete Stark,0.628740116
Michael B. Enzi,0.628470271
Carl Levin,0.622175429
Sherwood Boehlert,0.620996271
Michael R. Turner,0.617310003
David R. Obey,0.605853131
George W. Gekas,0.603445033
Amy Klobuchar,0.602736334
Rand  Paul,0.601062587
Bill Posey,0.598376972
Edward E. Kaufman,0.597272608
Daniel K. Inouye,0.591175899
Thomas Massie,0.578255204
Lee Terry,0.577890902
Gary C. Peters,0.577309909
Diane E. Watson,0.573711776
Peter J. Visclosky,0.568159438
Tom Udall,0.566622239
Marion Berry,0.552748896
Ted Stevens,0.539719294
Harry Reid,0.539403447
Darrell E. Issa,0.527306229
"John C. Carney, Jr.",0.519057513
Robert P. Casey Jr.,0.518761274
Daniel Patrick Moynihan,0.507977619
Jerry Weller,0.507459835
Joe Barton,0.506758392
Joseph J. Heck,0.50465468
Geoff Davis,0.503005723
Andy Harris,0.496979383
Tom Coburn,0.489899701
Earl Pomeroy,0.489596086
Bob Filner,0.473169287
Patrick Meehan,0.472316275
Charles F. Bass,0.466451918
Robert C. Byrd,0.460734605
Ralph M. Hall,0.451667856
John E. Walsh,0.450352433
James P. Moran,0.449666115
Larry Bucshon,0.44608944
Marco  Rubio,0.444711286
John A. Yarmuth,0.433933264
John P. Murtha,0.431145467
Renee L. Ellmers,0.425895396
Leonard L. Boswell,0.401032336
Albio Sires,0.398827839
Elizabeth Warren,0.395884919
Adam B. Schiff,0.380441935
Chris Van Hollen,0.373022562
Gregory W. Meeks,0.364475897
Doug Lamborn,0.359647542
Brad Miller,0.349089321
Christopher P. Carney,0.346275212
Christopher P. Gibson,0.340357536
Cynthia M. Lummis,0.32878096
Ted  Cruz,0.325904351
Jared Huffman,0.323652448
Jeff Flake,0.320266844
Pete V. Domenici,0.320127718
Erik Paulsen,0.319058707
Earl Blumenauer,0.318804316
Sean P. Duffy,0.31869698
Mark L. Pryor,0.305363517
Jim Cooper,0.301276636
Robert W. Ney,0.295756497
Dana Rohrabacher,0.293750929
Arlen Specter,0.291894324
J. Gresham Barrett,0.28955666
Virginia Foxx,0.287061918
Mark Udall,0.285168016
John D. Rockefeller IV,0.285156822
Niki Tsongas,0.283621113
Maria Cantwell,0.274676282
Robert E. Latta,0.27381452
Claire McCaskill,0.262272357
"Henry E. Brown, Jr.",0.262060489
Susan W. Brooks,0.252955112
Steve Chabot,0.251655727
Joe Walsh,0.246422833
Rob Simmons,0.246261006
Al  Franken,0.238023319
Herb Kohl,0.236325493
Ben Nighthorse Campbell,0.236110262
Mary Bono Mack,0.233435843
Hillary Rodham Clinton,0.232531936
Thomas W. Ewing,0.231085527
Paul D. Wellstone,0.22784959
Nick J. Rahall II,0.224230664
Jack Kingston,0.224162437
Steve Scalise,0.224044827
Brett Guthrie,0.223658468
John L. Mica,0.21892275
Michael F. Bennet,0.217371973
John Warner,0.215635438
Barbara A. Mikulski,0.210602836
John B. Larson,0.207266897
Bill Cassidy,0.198891948
Rob Portman,0.198891948
Bill Nelson,0.198891948
Jon S. Corzine,0.198743264
Steven R. Rothman,0.198743264
Thomas R. Carper,0.195997221
Christopher S. Bond,0.194508413
Brian Higgins,0.192500001
James R. Langevin,0.192500001
Todd Rokita,0.191010486
Blanche L. Lincoln,0.190951461
Rodney P. Frelinghuysen,0.189985932
Wayne Allard,0.181875001
Joseph M. Hoeffel,0.181875001
Greg Walden,0.181875001
Judy Chu,0.181405951
Joseph R. Biden Jr.,0.180881521
Carol Shea-Porter,0.180357144
Glenn C. Nye,0.174968752
Kevin Yoder,0.174519232
Michael Bilirakis,0.173723391
Timothy V. Johnson,0.171923615
Bob Barr,0.168214286
Porter J. Goss,0.168214286
Ann Kirkpatrick,0.166613636
Trent Lott,0.165937501
Vern Buchanan,0.165937501
Stephen F. Lynch,0.165352041
Scott DesJarlais,0.164166667
Lindsey Graham,0.164166667
Rodney Alexander,0.164166667
"Charles W. Boustany, Jr.",0.160625
Floyd Spence,0.159807693
Duncan Hunter,0.159807693
Thomas S.P. Perriello,0.159807693
Tom Rice,0.159302778
John Thune,0.158433864
Neil Abercrombie,0.157314951
Richard M. Nolan,0.156692821
Ron Paul,0.156378837
Joe Donnelly,0.155795455
Luis G. Fortuno,0.15375
Doris O. Matsui,0.153445946
Angus S. King Jr.,0.15
Michael K. Simpson,0.15
David Schweikert,0.15
Mick Mulvaney,0.15
Joe Wilson,0.15
Gary L. Ackerman,0.15
Joseph Crowley,0.15
Norman D. Dicks,0.15
Ruben Hinojosa,0.15
Jim Matheson,0.15
Dennis A. Cardoza,0.15
Dan Burton,0.15
Mark Kirk,0.15
Bob Etheridge,0.15
Danny K. Davis,0.15
Elijah E. Cummings,0.15
Christopher Murphy,0.15
Paul W. Hodes,0.15
Betty Sutton,0.15
Luis V. Gutierrez,0.15
John Shimkus,0.15
John Linder,0.15
Sander M. Levin,0.15
Jerry McNerney,0.15
Ed Pastor,0.15
Steve Israel,0.15
Timothy J. Walz,0.15
Maurice D. Hinchey,0.15
Michael E. Capuano,0.15
Robert Wexler,0.15
Loretta Sanchez,0.15
Ron Klein,0.15
John Abney Culberson,0.15
Kelly Ayotte,0.15
Heidi  Heitkamp,0.15
Saxby Chambliss,0.15
Paul E. Gillmor,0.15
Roscoe G. Bartlett,0.15
Pete Sessions,0.15
Gene Taylor,0.15
Wayne T. Gilchrest,0.15
John N. Hostettler,0.15
John E. Peterson,0.15
Johnny Isakson,0.15
Joe Skeen,0.15
Jim Ryun,0.15
Lincoln Diaz-Balart,0.15
Matt Cartwright,0.15
Terry Everett,0.15
Cass Ballenger,0.15
Eni F. H. Faleomavaega,0.15
Phil English,0.15
John B. Shadegg,0.15
Melissa A. Hart,0.15
Gil Gutknecht,0.15
Thomas G. Tancredo,0.15
Joseph R. Pitts,0.15
W. Todd Akin,0.15
Van Hilleary,0.15
Jim DeMint,0.15
Thomas A. Daschle,0.15
Max Cleland,0.15
Rick Santorum,0.15
Robert G. Torricelli,0.15
John Ensign,0.15
George Allen,0.15
Larry E. Craig,0.15
Richard C. Shelby,0.15
Bob Smith,0.15
Brad Sherman,0.15
Allyson Y. Schwartz,0.15
Nick Lampson,0.15
Frank A. LoBiondo,0.15
Joyce Beatty,0.15
Beto O'Rourke,0.15
Robert E. Andrews,0.15
John D. Dingell,0.15
Charles W. Norwood,0.15
Marge Roukema,0.15
David E. Bonior,0.15
Ted Strickland,0.15
Harold E. Ford,0.15
John E. Sweeney,0.15
Major R. Owens,0.15
Jim Ramstad,0.15
James C. Greenwood,0.15
Stephen Horn,0.15
Jo Ann Emerson,0.15
Colleen Hanabusa,0.15
Gerald E. Connolly,0.15
Peter Welch,0.15
Richard B. Nugent,0.15
Zell Miller,0.15
James A. Himes,0.15
Ron  Johnson,0.15
John  Barrasso,0.15
Pat Roberts,0.15
John  Hoeven,0.15
Roy Blunt,0.15
Daniel Lipinski,0.15
Cedric L. Richmond,0.15
Steven Horsford,0.15
Cory Gardner,0.15
Ann M. Kuster,0.15
Mark Pocan,0.15
Mike Lee,0.15
Daniel Coats,0.15
Lou Barletta,0.15
Trent Franks,0.15
"Randy K. Weber, Sr.",0.15
Tim Griffin,0.15
Aaron Schock,0.15
Jeff Duncan,0.15
Pete Olson,0.15
Bill Johnson,0.15
Mo Brooks,0.15
Jim Gerlach,0.15
Kevin Brady,0.15
David B. McKinley,0.15
Jim Jordan,0.15
Bill Flores,0.15
Steve Stivers,0.15
Steve Stockman,0.15
Paul C. Broun,0.15
Tim Walberg,0.15
Dan Benishek,0.15
Tim Huelskamp,0.15
Mark Meadows,0.15
Tom McClintock,0.15
Ed Whitfield,0.15
Tom Graves,0.15
Rob Bishop,0.15
John Fleming,0.15
Doug LaMalfa,0.15
Markwayne Mullin,0.15
Marlin A. Stutzman,0.15
Ann Wagner,0.15
John R. Carter,0.15
Roger Williams,0.15
Kevin Cramer,0.15
Alan Nunnelee,0.15
Michael C. Burgess,0.15
C. W. Bill Young,0.15
Ron DeSantis,0.15
Tom Latham,0.15
Jo Bonner,0.15
Glenn Thompson,0.15
Kenny Marchant,0.15
Scott Garrett,0.15
Dennis A. Ross,0.15
Robert Hurt,0.15
Blake Farenthold,0.15
Kerry L. Bentivolio,0.15
Michele Bachmann,0.15
Trey Gowdy,0.15
Steve Daines,0.15
Robert Pittenger,0.15
Michael G. Grimm,0.15
Stevan Pearce,0.15
Steve Womack,0.15
Tom Cotton,0.15
E. Scott Rigell,0.15
Doug Collins,0.15
Patrick J. Tiberi,0.15
Steven M. Palazzo,0.15
Shelley Moore Capito,0.15
Michael G. Fitzpatrick,0.15
Thomas E. Petri,0.15
Eric A. "Rick" Crawford,0.15
Brad R. Wenstrup,0.15
Martha Roby,0.15
Andy Barr,0.15
Justin Amash,0.15
Kristi L. Noem,0.15
Thomas J. Rooney,0.15
Blaine Luetkemeyer,0.15
David P. Roe,0.15
Phil Gingrey,0.15
H. Morgan Griffith,0.15
Randy Neugebauer,0.15
Reid J. Ribble,0.15
Paul A. Gosar,0.15
Jeff Fortenberry,0.15
Chris Stewart,0.15
Charles J. "Chuck" Fleischmann,0.15
James B. Renacci,0.15
Charles W. Dent,0.15
Matt Salmon,0.15
David P. Joyce,0.15
Steve Southerland II,0.15
Luke Messer,0.15
Raul R. Labrador,0.15
Bob Gibbs,0.15
Tom Cole,0.15
David G. Reichert,0.15
Ted S. Yoho,0.15
Ken Calvert,0.15
Keith J. Rothfus,0.15
Jason Smith,0.15
Scott Perry,0.15
Chris Collins,0.15
Tom Reed,0.15
Richard Hudson,0.15
Jon Runyan,0.15
Lynn Jenkins,0.15
Paul Cook,0.15
Daniel Webster,0.15
Mark Sanford,0.15
Mario Diaz-Balart,0.15
Vance M. McAllister,0.15
Gary G. Miller,0.15
Jeff Denham,0.15
Kay Granger,0.15
George Holding,0.15
Bradley Byrne,0.15
Jaime Herrera Beutler,0.15
Vicky Hartzler,0.15
Bill Huizenga,0.15
Jim Davis,0.15
Virgil H. Goode Jr.,0.15
Mark Green,0.15
Karen L. Thurman,0.15
Cliff Stearns,0.15
Corrine Brown,0.15
Mark Foley,0.15
Ric Keller,0.15
Silvestre Reyes,0.15
John E. Sununu,0.15
Roger F. Wicker,0.15
Ike Skelton,0.15
Ken Salazar,0.15
Mike Crapo,0.15
Tim Johnson,0.15
Jeff Sessions,0.15
Evan Bayh,0.15
Ben Nelson,0.15
Michael G. Oxley,0.15
Ami Bera,0.15
Mike Pence,0.15
Mike Ferguson,0.15
Artur Davis,0.15
Marilyn N. Musgrave,0.15
William J. Jefferson,0.15
Dan Boren,0.15
Tim Holden,0.15
Joe Knollenberg,0.15
John Kline,0.15
John M. McHugh,0.15
Chaka Fattah,0.15
Harry E. Mitchell,0.15
Ed Perlmutter,0.15
Michael R. McNulty,0.15
Mike McIntyre,0.15
Thelma D. Drake,0.15
Henry Cuellar,0.15
Grace F. Napolitano,0.15
Jon C. Porter,0.15
Tim Mahoney,0.15
Deborah Pryce,0.15
Cathy McMorris Rodgers,0.15
Connie Mack,0.15
Lynn A. Westmoreland,0.15
Brian P. Bilbray,0.15
Eric Cantor,0.15
Stephanie Herseth Sandlin,0.15
Joe Sestak,0.15
Russ Carnahan,0.15
Rick Renzi,0.15
Zach Wamp,0.15
Barbara Cubin,0.15
Elton Gallegly,0.15
Tom Feeney,0.15
Devin Nunes,0.15
Joe Baca,0.15
Patrick T. McHenry,0.15
Ben Chandler,0.15
Gabrielle Giffords,0.15
Patrick J. Murphy,0.15
John Sullivan,0.15
Kendrick B. Meek,0.15
Darlene Hooley,0.15
Bill Sali,0.15
"Henry C. ""Hank"" Johnson, Jr.",0.15
Ron Lewis,0.15
Dave Weldon,0.15
Melissa L. Bean,0.15
Linda T. Sanchez,0.15
"Sanford D. Bishop, Jr.",0.15
Charles A. Gonzalez,0.15
Al Green,0.15
James T. Walsh,0.15
Paul D. Ryan,0.15
Steven C. LaTourette,0.15
John P. Sarbanes,0.15
Lincoln Davis,0.15
Albert Russell Wynn,0.15
Denny Rehberg,0.15
Vito Fossella,0.15
Joe Courtney,0.15
Bobby Jindal,0.15
John T. Salazar,0.15
Adrian Smith,0.15
Charles B. Rangel,0.15
Michael A. Arcuri,0.15
George Radanovich,0.15
Richard H. Baker,0.15
Doc Hastings,0.15
Phil Hare,0.15
Mary Fallin,0.15
Rahm Emanuel,0.15
Michael H. Michaud,0.15
Sam Farr,0.15
Jeb Hensarling,0.15
John Boozman,0.15
Brad Ellsworth,0.15
Lucille Roybal-Allard,0.15
Allen Boyd,0.15
Adam H. Putnam,0.15
Todd Tiahrt,0.15
John T. Doolittle,0.15
Ciro D. Rodriguez,0.15
Robin Hayes,0.15
Bruce L. Braley,0.15
Mark E. Souder,0.15
C. A. Dutch Ruppersberger,0.15
Steve Kagen,0.15
Peter J. Roskam,0.15
Zachary T. Space,0.15
Mike Ross,0.15
Emanuel Cleaver,0.15
Jim Marshall,0.15
Howard Coble,0.15
David Davis,0.15
Daniel E. Lungren,0.15
John R. "Randy" Kuhl Jr.,0.15
Robert A. Brady,0.15
Mike Thompson,0.15
John J. Hall,0.15
Kevin McCarthy,0.15
Baron P. Hill,0.15
Jay Inslee,0.15
Heath Shuler,0.15
Jeff Miller,0.15
Peter Hoekstra,0.15
Robert C. "Bobby" Scott,0.15
Jason Altmire,0.15
J. Dennis Hastert,0.15
Thomas M. Reynolds,0.15
Charles W. "Chip" Pickering,0.15
Jerry Lewis,0.15
Brendan F. Boyle,0.15
John Edwards,0.15
Lincoln Chafee,0.15
Marcy Kaptur,0.15
James E. Clyburn,0.15
Jose E. Serrano,0.15
Alan B. Mollohan,0.15
Sonny Callahan,0.15
Robert E. (Bud) Cramer Jr.,0.15
Earl F. Hilliard,0.15
Bob Riley,0.15
Paul E. Kanjorski,0.15
Felix J. Grucci Jr.,0.15
John W. Olver,0.15
Keith Ellison,0.15
Collin C. Peterson,0.15
Lloyd Doggett,0.15
George V. Voinovich,0.15
Ernie Fletcher,0.15
William L. Jenkins,0.15
Martin T. Meehan,0.15
Bill Delahunt,0.15
Marcia L. Fudge,0.15
Solomon P. Ortiz,0.15
Madeleine Z. Bordallo,0.15
Chellie Pingree,0.15
Suzan K. DelBene,0.15
Rodney Davis,0.15
Donald A. Manzullo,0.15
Gwen Moore,0.15
Melvin L. Watt,0.15
Maxine Waters,0.15
Martin Frost,0.15
Brian D. Kerns,0.15
Doug Bereuter,0.15
J. C. Watts Jr.,0.15
Mac Collins,0.15
Wes Watkins,0.15
Edward L. Schrock,0.15
Tom Osborne,0.15
Mark Dayton,0.15
Conrad R. Burns,0.15
Jean Carnahan,0.15
Paul S. Sarbanes,0.15
Robert F. Bennett,0.15
Jon Kyl,0.15
Strom Thurmond,0.15
Kay Bailey Hutchison,0.15
Jim Bunning,0.15
Phil Gramm,0.15
Don Nickles,0.15
John B. Breaux,0.15
Donna F. Edwards,0.15
Eleanor Holmes Norton,0.15
David E. Price,0.15
James L. Oberstar,0.15
Richard E. Neal,0.15
Vic Snyder,0.15
Spencer Abraham,0.15
Paul Coverdell,0.15
Frank H. Murkowski,0.15
Robert T. Schilling,0.15
Billy Long,0.15
Ronnie Shows,0.15
Michael P. Forbes,0.15
Bob Stump,0.15
Tom Campbell,0.15
David M. McIntosh,0.15
Julian C. Dixon,0.15
Richard K. Armey,0.15
Anne M. Northup,0.15
Peter Deutsch,0.15
J. D. Hayworth,0.15
Jennifer Dunn,0.15
James H. Maloney,0.15
Robert A. Underwood,0.15
Martin Olav Sabo,0.15
John Edward Porter,0.15
Ken Lucas,0.15
George R. Nethercutt Jr.,0.15
Ron Klink,0.15
Tom Bliley,0.15
William F. Goodling,0.15
Nathan Deal,0.15
Jim Turner,0.15
Robert A. Weygand,0.15
Lynn N. Rivers,0.15
Robert A. Borski,0.15
Richard W. Pombo,0.15
Rick Hill,0.15
Bruce F. Vento,0.15
Jack Metcalf,0.15
Randy (Duke) Cunningham,0.15
Dan Miller,0.15
Rick Lazio,0.15
Gerald D. Kleczka,0.15
Herbert H. Bateman,0.15
Frank Mascara,0.15
Merrill Cook,0.15
David Vitter,0.15
Sue W. Kelly,0.15
Ed Bryant,0.15
Steve Largent,0.15
Rod R. Blagojevich,0.15
Joel Hefley,0.15
Robert T. Matsui,0.15
David Minge,0.15
David D. Phelps,0.15
David Dreier,0.15
Jim Kolbe,0.15
William J. Coyne,0.15
James A. Barcia,0.15
Norman Sisisky,0.15
Carrie P. Meek,0.15
Bob Franks,0.15
Nick Smith,0.15
Bill Luther,0.15
Steven T. Kuykendall,0.15
Jim Nussle,0.15
Xavier Becerra,0.15
Charles W. Stenholm,0.15
Doug Ose,0.15
Bob Clement,0.15
Richard A. Gephardt,0.15
Karen McCarthy,0.15
Asa Hutchinson,0.15
Donna M. Christensen,0.15
Bill Barrett,0.15
Ken Bentsen,0.15
Henry Bonilla,0.15
Charles T. Canady,0.15
Gary A. Condit,0.15
Calvin M. Dooley,0.15
Chet Edwards,0.15
Tillie Fowler,0.15
David L. Hobson,0.15
Matthew G. Martinez,0.15
Ron Packard,0.15
Carlos A. Romero-Barcelo,0.15
"John M. Spratt, Jr.",0.15
James A. Traficant Jr.,0.15
Curt Weldon,0.15
Christopher Cox,0.15
Charles H. Taylor,0.15
James E. Rogan,0.15
Pat Danner,0.15
Katherine Harris,0.15
John J.H. "Joe" Schwarz,0.15
Nancy L. Johnson,0.15
Jo Ann Davis,0.15
Rick Boucher,0.15
Jean Schmidt,0.15
Allen B. West,0.15
Jim Talent,0.15
Ed Case,0.15
Laura Richardson,0.15
G. K. Butterfield,0.15
Gregorio Kilili Camacho Sablan,0.15
Kathleen C. Hochul,0.15
Rod Grams,0.15
Cynthia A. McKinney,0.15
Lane Evans,0.15
William O. Lipinski,0.15
Karen Bass,0.15
Amo Houghton,0.15
John J. LaFalce,0.15
John Cooksey,0.15
Carolyn C. Kilpatrick,0.15
John R. Kasich,0.15
Ann Marie Buerkle,0.15
Robert L. Turner,0.15
Mark S. Critz,0.15
William R. Keating,0.15
Robert J. Dold,0.15
Janice Hahn,0.15
Andre Carson,0.15
Theodore E. Deutch,0.15
James M. Jeffords,0.15
Thomas M. Barrett,0.15
William (Bill) Clay,0.15
Jack Quinn,0.15
Patsy T. Mink,0.15
"George E. Brown, Jr.",0.15
John Elias Baldacci,0.15
Tim Roemer,0.15
Steve Buyer,0.15
Jim Gibbons,0.15
James V. Hansen,0.15
Christopher John,0.15
Mike  Johanns,0.15
John Cornyn,0.15
Scott P. Brown,0.15
Mark  Begich,0.15
Mitch McConnell,0.15
Tom Sawyer,0.15
Ralph Regula,0.15
Charles S. Robb,0.15
Jeffrey M. Landry,0.15
Mark R. Kennedy,0.15
Chris Chocola,0.15
Bob Beauprez,0.15
Max Burns,0.15
Brad Carson,0.15
Ray LaHood,0.15
Max Sandlin,0.15
Rick Berg,0.15
Tim Scott,0.15
Martin Heinrich,0.15
Cory A. Booker,0.15
Dina Titus,0.15
Robin L. Kelly,0.15
Katherine M. Clark,0.15
Donald J. Cazayoux Jr.,0.15
John A. Boehner,0.15
Scott McInnis,0.15
E. Clay Shaw Jr.,0.15
Mike Pompeo,0.15
Francisco "Quico" Canseco,0.15
Frederica S. Wilson,0.15
Pedro R. Pierluisi,0.15
Bob Inglis,0.15
Brian  Schatz,0.15
Mark R. Warner,0.15
Tim Hutchinson,0.15
Slade Gorton,0.15
J. Robert Kerrey,0.15
Craig Thomas,0.15
Earl L. "Buddy" Carter,0.15
Joaquin Castro,0.15
Mark DeSaulnier,0.15
John Garamendi,0.15
Gregg Harper,0.15
J. French Hill,0.15
Alan S. Lowenthal,0.15
Grace Meng,0.15
Eric Swalwell,0.15
Mark Takano,0.15
David G. Valadao,0.15
Juan Vargas,0.15
Mimi Walters,0.15
Tulsi Gabbard,0.15
Richard H. Bryan,0.15
Scott H. Peters,0.15
Kyrsten Sinema,0.15
Terri A. Sewell,0.15
Derek Kilmer,0.15
William L. Enyart,0.15
Kathleen M. Rice,0.15
Alma S. Adams,0.15
Ryan K. Zinke,0.15
Elizabeth H. Esty,0.15
Martha McSally,0.15
Thomas MacArthur,0.15
David W. Jolly,0.15
Brad Ashford,0.15
Filemon Vela,0.15
Curt Clawson,0.15
Sean Patrick Maloney,0.15
Debbie Dingell,0.15
Cheri Bustos,0.15
Brenda L. Lawrence,0.15
Marc A. Veasey,0.15
Julia Brownley,0.15
"Donald S. Beyer, Jr.",0.15
Michelle Lujan Grisham,0.15
Patrick Murphy,0.15
Pete Aguilar,0.15
Elise M. Stefanik,0.15
